Gryoscope_X,Gryoscope_Y,Gryoscope_Z
2.347856624,0.027448267,-1.143457668
2.286927326,-0.190020667,-0.953090863
2.12598954,-0.339434134,-0.79003592
1.855821235,-0.422910647,-0.653665321
1.501002772,-0.406546848,-0.539798932
1.075654609,-0.26618229,-0.446304397
0.64197777,-0.041114284,-0.365586625
0.261137201,0.164266838,-0.252526926
-0.012550281,0.279738827,-0.089554788
-0.153149741,0.285300596,0.110497883
-0.181384044,0.217437906,0.342745228
-0.153895156,0.120261563,0.617679341
-0.122128444,0.009732654,0.891029639
-0.164064171,-0.069687867,1.137897236
-0.310756402,-0.033325599,1.35894726
-0.534525053,0.080618015,1.514645083
-0.772616999,0.226547791,1.615856869
-0.978836195,0.400149388,1.662972434
-1.171801345,0.583931728,1.652586086
-1.353529351,0.761083348,1.58183573
-1.534206765,0.868156536,1.489701374
-1.720118301,0.850402339,1.389396293
-1.913540738,0.733844562,1.270034535
-2.162133353,0.550754113,1.135400756
-2.481137888,0.413362397,0.994529648
-2.82499017,0.348264648,0.855300112
-3.13039984,0.233721538,0.733781977
-3.354283707,-0.009240505,0.663950427
-3.454925911,-0.349194066,0.609816356
-3.440580981,-0.747162239,0.530657096
-3.440580981,-0.747162239,0.530657096
-3.326029913,-1.088322775,0.355894579
-3.139090674,-1.278905766,0.043633895
-2.914551871,-1.308877723,-0.367445247
-2.657932656,-1.244997518,-0.809028523
-2.32906975,-1.094528215,-1.238477366
-1.932400958,-1.026883619,-1.602254527
-1.491952555,-1.091495054,-1.872664468
-1.008216994,-1.267195003,-2.05323519
-0.499715404,-1.467682617,-2.161727087
0.028565729,-1.620700138,-2.213527577
0.540527566,-1.665081398,-2.240192072
0.988466187,-1.641675727,-2.271155732
1.371040685,-1.492502944,-2.299238818
1.672015174,-1.222069876,-2.287185328
1.898223622,-0.919071393,-2.20411505
2.055822475,-0.653763549,-2.024521964
2.15997587,-0.461937146,-1.739691155
2.251803739,-0.391084539,-1.378801124
2.326305969,-0.40396251,-0.987595873
2.357732399,-0.365132825,-0.633337395
2.353128059,-0.223940285,-0.341292756
2.324849231,-0.003057976,-0.122479709
2.263459785,0.252753301,0.035398336
2.187126978,0.455819054,0.169161452
2.109143121,0.597203059,0.295935644
2.054253204,0.689163609,0.413692905
2.024417026,0.795786483,0.529932959
2.005297525,0.85763572,0.632203145
1.965297921,0.881807132,0.699513478
1.900966151,0.925511701,0.742460413
1.779261215,1.050259216,0.76899801
1.582014783,1.181540353,0.813576145
1.309313161,1.240138872,0.879131181
0.94962929,1.233044489,0.967923088
0.534345849,1.15421973,1.061917527
0.095831586,0.965177639,1.164639337
